Name,Date,Site,Cluster,Transect,Margin,Assigned to,Height (cm),Latitude,Longitude,Depth,Camera,Photographer,Water quality,Strobes,Framing gear used,White balance card,Comments,Row,Column,Label,Annotator,Date annotated,Machine suggestion 1,Machine confidence 1,Machine suggestion 2,Machine confidence 2,Machine suggestion 3,Machine confidence 3,Machine suggestion 4,Machine confidence 4,Machine suggestion 5,Machine confidence 5
2021-11-07-ADELUP-B-T1 10.0-A (PB070429).JPG,2021-11-07,ADELUP,B,1,A,Serena B.,,,,,,,,,,,,299,199,DEST,serenabutler,2021-12-29 23:30:29+00:00,,,,,,,,,,
2021-11-07-ADELUP-B-T1 10.0-A (PB070429).JPG,2021-11-07,ADELUP,B,1,A,Serena B.,,,,,,,,,,,,299,599,DEST,serenabutler,2021-12-29 23:30:29+00:00,,,,,,,,,,
2021-11-07-ADELUP-B-T1 10.0-A (PB070429).JPG,2021-11-07,ADELUP,B,1,A,Serena B.,,,,,,,,,,,,299,999,DEST,serenabutler,2021-12-29 23:30:29+00:00,,,,,,,,,,
2021-11-07-ADELUP-B-T1 10.0-A (PB070429).JPG,2021-11-07,ADELUP,B,1,A,Serena B.,,,,,,,,,,,,299,1399,DEST,serenabutler,2021-12-29 23:30:29+00:00,,,,,,,,,,
2021-11-07-ADELUP-B-T1 10.0-A (PB070429).JPG,2021-11-07,ADELUP,B,1,A,Serena B.,,,,,,,,,,,,299,1799,DEST,serenabutler,2021-12-29 23:30:29+00:00,,,,,,,,,,
2021-11-07-ADELUP-B-T1 10.0-A (PB070429).JPG,2021-11-07,ADELUP,B,1,A,Serena B.,,,,,,,,,,,,299,2199,MALG,serenabutler,2021-12-29 23:30:29+00:00,,,,,,,,,,
2021-11-07-ADELUP-B-T1 10.0-A (PB070429).JPG,2021-11-07,ADELUP,B,1,A,Serena B.,,,,,,,,,,,,299,2599,DEST,serenabutler,2021-12-29 23:30:29+00:00,,,,,,,,,,
2021-11-07-ADELUP-B-T1 10.0-A (PB070429).JPG,2021-11-07,ADELUP,B,1,A,Serena B.,,,,,,,,,,,,299,2999,DEST,serenabutler,2021-12-29 23:30:29+00:00,,,,,,,,,,
2021-11-07-ADELUP-B-T1 10.0-A (PB070429).JPG,2021-11-07,ADELUP,B,1,A,Serena B.,,,,,,,,,,,,299,3399,DEST,serenabutler,2021-12-29 23:30:29+00:00,,,,,,,,,,
2021-11-07-ADELUP-B-T1 10.0-A (PB070429).JPG,2021-11-07,ADELUP,B,1,A,Serena B.,,,,,,,,,,,,299,3799,DEST,serenabutler,2021-12-29 23:30:29+00:00,,,,,,,,,,
