Name,Date,Site,Cluster,Transect,Margin,Assigned to,Height (cm),Latitude,Longitude,Depth,Camera,Photographer,Water quality,Strobes,Framing gear used,White balance card,Comments,Row,Column,Label,Annotator,Date annotated,Machine suggestion 1,Machine confidence 1,Machine suggestion 2,Machine confidence 2,Machine suggestion 3,Machine confidence 3,Machine suggestion 4,Machine confidence 4,Machine suggestion 5,Machine confidence 5
2021-05-27-ASAN-A-T1 10.0-A (P5271395).JPG,2021-05-27,ASAN,A,1,A,Serena B.,,,,,,,,,,,,299,199,SAND,serenabutler,2021-10-30 18:14:31+00:00,,,,,,,,,,
2021-05-27-ASAN-A-T1 10.0-A (P5271395).JPG,2021-05-27,ASAN,A,1,A,Serena B.,,,,,,,,,,,,299,599,DEAD,serenabutler,2021-10-30 18:14:31+00:00,,,,,,,,,,
2021-05-27-ASAN-A-T1 10.0-A (P5271395).JPG,2021-05-27,ASAN,A,1,A,Serena B.,,,,,,,,,,,,299,999,DEAD,serenabutler,2021-10-30 18:14:31+00:00,,,,,,,,,,
2021-05-27-ASAN-A-T1 10.0-A (P5271395).JPG,2021-05-27,ASAN,A,1,A,Serena B.,,,,,,,,,,,,299,1399,DEAD,serenabutler,2021-10-30 18:14:31+00:00,,,,,,,,,,
2021-05-27-ASAN-A-T1 10.0-A (P5271395).JPG,2021-05-27,ASAN,A,1,A,Serena B.,,,,,,,,,,,,299,1799,SAND,serenabutler,2021-10-30 18:14:31+00:00,,,,,,,,,,
2021-05-27-ASAN-A-T1 10.0-A (P5271395).JPG,2021-05-27,ASAN,A,1,A,Serena B.,,,,,,,,,,,,299,2199,SAND,serenabutler,2021-10-30 18:14:31+00:00,,,,,,,,,,
2021-05-27-ASAN-A-T1 10.0-A (P5271395).JPG,2021-05-27,ASAN,A,1,A,Serena B.,,,,,,,,,,,,299,2599,SAND,serenabutler,2021-10-30 18:14:31+00:00,,,,,,,,,,
2021-05-27-ASAN-A-T1 10.0-A (P5271395).JPG,2021-05-27,ASAN,A,1,A,Serena B.,,,,,,,,,,,,299,2999,SAND,serenabutler,2021-10-30 18:14:31+00:00,,,,,,,,,,
2021-05-27-ASAN-A-T1 10.0-A (P5271395).JPG,2021-05-27,ASAN,A,1,A,Serena B.,,,,,,,,,,,,299,3399,MALG,serenabutler,2021-10-30 18:14:31+00:00,,,,,,,,,,
2021-05-27-ASAN-A-T1 10.0-A (P5271395).JPG,2021-05-27,ASAN,A,1,A,Serena B.,,,,,,,,,,,,299,3799,MALG,serenabutler,2021-10-30 18:14:31+00:00,,,,,,,,,,
2021-05-27-ASAN-A-T1 10.0-A (P5271395).JPG,2021-05-27,ASAN,A,1,A,Serena B.,,,,,,,,,,,,899,199,SAND,serenabutler,2021-10-30 18:14:31+00:00,,,,,,,,,,
2021-05-27-ASAN-A-T1 10.0-A (P5271395).JPG,2021-05-27,ASAN,A,1,A,Serena B.,,,,,,,,,,,,899,599,DEAD,serenabutler,2021-10-30 18:14:31+00:00,,,,,,,,,,
2021-05-27-ASAN-A-T1 10.0-A (P5271395).JPG,2021-05-27,ASAN,A,1,A,Serena B.,,,,,,,,,,,,899,999,SAND,serenabutler,2021-10-30 18:14:31+00:00,,,,,,,,,,
2021-05-27-ASAN-A-T1 10.0-A (P5271395).JPG,2021-05-27,ASAN,A,1,A,Serena B.,,,,,,,,,,,,899,1399,SAND,serenabutler,2021-10-30 18:14:31+00:00,,,,,,,,,,
2021-05-27-ASAN-A-T1 10.0-A (P5271395).JPG,2021-05-27,ASAN,A,1,A,Serena B.,,,,,,,,,,,,899,1799,SAND,serenabutler,2021-10-30 18:14:31+00:00,,,,,,,,,,
